Month,Raw_C20,Raw_C22,Raw_C29,Raw_F,EngleGranger_P_C22,EngleGranger_P_C29,EngleGranger_P_F,System_Cointegrated
2016-02-01,92.4,95.5,124.4,92.6,0.09121758186737494,0.039268897331318546,0.03951344570735178,1
2016-03-01,90.5,94.1,123.4,92.6,0.061116940416282454,0.031231011013794822,0.01369890528534679,1
2016-04-01,89.8,96.3,128.5,93.1,0.023017278478401987,0.0035644678810514397,0.0025706828352835883,1
2016-05-01,92.3,95.2,120.0,93.0,0.35959133948666233,0.014463410120985943,0.016828103702470055,1
2016-06-01,90.2,95.1,126.3,93.2,0.1577584686014073,0.12658044383405304,0.10485906531044287,1
2016-07-01,92.2,94.4,124.2,93.9,0.24461666652806396,0.02285207166712438,0.052786714781016285,1
2016-08-01,89.0,95.6,127.5,95.0,0.202788815146771,0.021867011892845345,0.09055213369629905,1
2016-09-01,89.7,95.9,124.2,94.4,0.04732221281163197,0.07058391325905528,0.07147524197534876,1
2016-10-01,88.2,96.0,126.9,94.5,0.078578269728013,0.06907184340567842,0.09013118854512048,1
2016-11-01,90.4,96.6,122.6,95.4,0.12523613425004776,0.10381952890110663,0.006441559411729969,1
2016-12-01,92.3,97.1,119.3,95.7,0.10629771846940961,0.09326672650349555,0.13570534674766105,1
2017-01-01,97.0,96.6,124.7,93.6,0.051520129174998826,0.07880560821957927,0.006926602453486921,1
2017-02-01,97.7,98.0,125.3,96.5,0.05537111700991592,0.1906961174683371,0.5366717989760322,1
2017-03-01,97.3,99.4,125.9,97.8,0.0032362652059901337,0.3506626926409631,0.5179385738042898,1
2017-04-01,96.8,99.2,125.3,97.9,0.07321312518773518,0.35615975757537693,0.5064385123747509,1
2017-05-01,96.6,99.7,128.5,98.5,0.0020727657270159213,0.057128675297914364,0.14586858400615332,1
2017-06-01,98.2,99.8,126.5,98.3,0.1273643761268391,0.4663020703022489,0.17527424663179103,1
2017-07-01,96.9,100.9,128.1,98.5,0.39177713511222517,0.7669991157297109,0.30894580327872334,1
2017-08-01,98.8,101.0,137.1,99.1,0.17476720474189966,0.5009088591063487,0.2144182906744062,1
2017-09-01,97.1,101.3,130.6,98.4,0.2856754041714667,0.5042647498578511,0.22116107405218072,1
2017-10-01,98.6,101.9,128.3,99.8,0.2341479675451809,0.4642488199132393,0.19549587466545298,1
2017-11-01,99.4,102.7,133.8,99.8,0.16750206913855042,0.5005702701565503,0.214052635269675,1
2017-12-01,100.4,102.5,129.7,100.9,0.24291537189879964,0.47034135666237986,0.23335390296398217,1
2018-01-01,99.9,101.9,132.5,99.1,0.2806948728357047,0.5522913466156933,0.20839177382845003,1
2018-02-01,100.9,99.6,126.2,96.9,0.365352175118287,0.6135483054445661,0.23992645566078047,1
2018-03-01,99.6,100.0,133.3,96.1,0.5705940068297422,0.7607832092957691,0.41805214769250637,1
2018-04-01,98.2,99.2,132.6,98.8,0.5211946594860306,0.6415046694446743,0.01993024087000508,1
2018-05-01,101.2,101.2,131.3,98.9,0.4184956723302818,0.2764008285284837,0.0027396149565462515,1
2018-06-01,99.6,101.8,132.7,100.3,0.660683020583172,0.3675834545194321,0.0030106133600254384,1
2018-07-01,98.9,101.2,126.2,100.5,0.4569833171758797,0.3442496151865291,0.0008843054051614185,1
2018-08-01,97.2,100.9,125.4,100.9,0.3746817916488836,0.3824120638447907,0.0005475617772833044,1
2018-09-01,94.9,100.7,123.7,101.4,0.33869482122910344,0.3563228113482667,0.00032221923823113594,1
2018-10-01,95.8,100.9,125.6,100.8,0.2592171899152429,0.2711223682948374,0.0009226670323467565,1
2018-11-01,94.6,99.8,122.1,101.1,0.2664559425406837,0.24919790300667793,0.005869140427031588,1
2018-12-01,93.0,100.9,126.5,102.7,0.2689804248279921,0.271558920090306,0.16623527243218628,1
2019-01-01,96.4,100.7,123.7,99.7,0.7280713522467754,0.24244511865467916,0.0024025330924147457,0
2019-02-01,94.4,99.9,125.4,102.9,0.7732061400591346,0.26796721225697084,0.0017678073899814926,1
2019-03-01,95.6,100.3,125.3,103.1,0.7400340932972231,0.2664977172026712,0.23080136889543973,1
2019-04-01,96.8,100.2,124.6,102.8,0.7495053101628546,0.2571464472848438,0.27532755107829265,1
2019-05-01,96.1,99.9,130.5,102.0,0.7406761452021641,0.287940300764973,0.17204755567923535,1
2019-06-01,95.3,98.8,126.4,102.1,0.7751696706152725,0.2527345292251747,0.16443798140211724,1
2019-07-01,97.3,99.5,124.4,102.4,0.7156393839340478,0.2412207809195538,0.1829830454558366,1
2019-08-01,99.9,100.5,125.1,102.1,0.7425925311128428,0.2653808354903568,0.1742220177199293,1
2019-09-01,91.8,99.4,123.9,102.7,0.07010047819052183,0.3585668444046242,0.10837446004692941,1
2019-10-01,96.5,98.3,120.6,101.8,0.11921061575627107,0.16737458579808,0.17163285884029644,1
2019-11-01,93.8,98.6,119.9,101.9,0.11401810192768475,0.19124405247392817,0.18287532575728271,1
2019-12-01,98.5,96.5,115.2,101.6,0.10592156227237781,0.1660026638539715,0.27015113321807155,1
2020-01-01,98.0,99.3,120.9,104.0,0.04451611522536163,0.3681964927972441,0.2030013363122996,1
